Denumirea instantei in clar (cu diactritice),Codul informatic al instantei (din portal),Populația,Numar de judecatori,Stoc (total volum de activitate al instantei),Dosare solutionate,Operativitate (procent solutionate din stoc),Incarcatura pe schema,Incarcatura pe judecator,Indice de atacabilitate (procent atacate din solutionate),Indice de casare/desfiintare,"Indicator de ""siguranta"" (100%-Desfiintare*Atacare)",Durata in zile,Performanta pentru gogoasa,Operativitatea relativa,Incarcatura relativa,Siguranta relativa
Judecătoria LIEŞTI,JudecatoriaLIESTI,54034,3,2285,1780,78%,761.67,761.67,13%,8%,98.96%,103,35.17%,77.90%,85.90%,70.93%
Judecătoria LIPOVA,JudecatoriaLIPOVA,40874,4,2236,1740,78%,559,559,13%,8%,98.96%,72,46.33%,77.82%,86.32%,79.42%
Judecătoria LUDUŞ,JudecatoriaLUDUS,55119,4,3614,3079,85%,903.5,903.5,13%,8%,98.96%,43,57.22%,85.20%,83.61%,87.19%
Judecătoria LUGOJ,JudecatoriaLUGOJ,84187,8,4099,3170,77%,455.44,512.38,13%,8%,98.96%,78,57.64%,87.00%,93.91%,77.90%
Judecătoria MACIN,JudecatoriaMACIN,44851,3,1788,1398,78%,596,596,13%,8%,98.96%,97,38.23%,78.19%,86.71%,72.53%
Judecătoria MANGALIA,JudecatoriaMANGALIA,93038,9,6695,5217,78%,743.89,743.89,13%,8%,98.96%,76,51.35%,77.92%,92.00%,78.46%
Judecătoria MARGHITA,JudecatoriaMARGHITA,89559,6,4179,3514,84%,696.5,835.8,13%,8%,98.96%,108,51.40%,100.90%,90.67%,69.81%
Judecătoria MEDGIDIA,JudecatoriaMEDGIDIA,130412,13,12525,10728,86%,963.46,1043.75,13%,8%,98.96%,63,63.70%,92.79%,92.00%,81.86%
Judecătoria MEDIAŞ,JudecatoriaMEDIAS,103584,11,5691,4935,87%,474.25,517.36,13%,8%,98.96%,50,72.59%,94.60%,95.01%,85.52%
Judecătoria MIERCUREA CIUC,JudecatoriaMIERCUREACIUC,110871,11,9968,8210,82%,906.18,906.18,13%,8%,98.96%,75,53.83%,82.36%,91.83%,78.67%
Judecătoria MIZIL,JudecatoriaMIZIL,54259,7,2752,2081,76%,393.14,393.14,13%,8%,98.96%,103,41.60%,75.62%,92.75%,71.10%
Judecătoria MOINEŞTI,JudecatoriaMOINESTI,121762,11,9997,7761,78%,833.08,833.08,13%,8%,98.96%,88,48.13%,77.63%,93.16%,75.05%
Judecătoria MOLDOVA-NOUĂ,JudecatoriaMOLDOVANOUA,24521,1,1569,1353,86%,523,784.5,13%,8%,98.96%,53,60.97%,129.35%,68.01%,84.66%
Judecătoria MORENI,JudecatoriaMORENI,56441,6,3961,3489,88%,660.17,660.17,13%,8%,98.96%,85,49.77%,88.08%,88.30%,76.04%
Judecătoria MOTRU,JudecatoriaMOTRU,49700,8,4831,3725,77%,603.88,603.88,13%,8%,98.96%,91,41.11%,77.11%,87.85%,74.29%
Judecătoria NĂSĂUD,JudecatoriaNASAUD,93038,7,5632,3527,63%,804.57,1126.4,13%,8%,98.96%,101,43.28%,87.67%,87.89%,71.45%
Judecătoria NEGREŞTI-OAŞ,JudecatoriaNEGRESTIOAS,61062,4,2733,1717,63%,683.25,911,13%,8%,98.96%,113,34.32%,83.77%,85.08%,68.46%
